Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
1600.0,3,3.0,2,169,1.0,30000000,1,0,1,11291.5
1500.0,3,3.0,1,169,1.0,31500000,1,1,1,11291.5
2200.0,3,3.0,2,169,1.0,30000000,1,1,1,11291.5
1350.0,3,3.0,2,169,1.0,41500000,1,0,1,11291.5
1710.0,3,3.0,1,169,1.0,24800000,1,1,1,11291.5
1350.0,3,3.0,1,169,2.0,35000000,1,1,1,11291.5
1500.0,3,3.0,1,169,1.0,40000000,1,1,1,26666.0
2880.0,4,5.0,2,169,1.0,46000000,1,0,1,15972.0
2700.0,4,4.0,1,169,2.0,55000000,1,1,1,183333.0
1400.0,3,3.0,2,169,1.0,24500000,1,1,1,183333.0
1800.0,3,3.0,2,169,1.0,24500000,1,1,0,183333.0
1400.0,3,3.0,1,169,1.0,32500000,1,0,1,183333.0
1000.0,2,2.0,0,169,1.0,20000000,1,1,0,20000.0
1000.0,2,2.0,0,169,1.0,20000000,1,1,0,20000.0
1700.0,3,3.0,0,169,2.0,19000000,1,1,1,20000.0
1600.0,3,3.0,2,169,2.0,26000000,1,1,1,20000.0
1350.0,3,3.0,2,169,1.0,21000000,1,1,1,15556.0
1700.0,3,3.0,1,169,1.0,27500000,1,1,1,16176.0
1400.0,3,3.0,1,169,2.0,32500000,1,0,1,16176.0
1450.0,3,3.0,1,169,1.0,45000000,1,0,1,16176.0
1350.0,3,3.0,1,169,1.0,21000000,1,1,1,15556.0
1700.0,3,3.0,2,169,1.0,28000000,1,1,1,15556.0
1600.0,3,3.0,2,169,2.0,29500000,1,1,1,15556.0
1500.0,1,2.0,2,168,1.0,13500000,1,1,0,11291.5
800.0,2,2.0,2,168,1.0,14000000,1,0,1,11291.5
1710.0,3,3.0,1,168,4.0,26000000,1,0,1,11291.5
1350.0,2,2.0,0,168,4.0,12500000,1,1,1,9259.0
1500.0,3,3.0,1,168,2.0,26000000,1,0,1,9259.0
750.0,2,2.0,1,356,2.0,11500000,1,0,1,9259.0
850.0,2,2.0,1,168,2.0,14600000,1,1,1,9259.0
1575.0,3,3.0,1,168,1.0,25500000,1,0,1,9259.0
1675.0,3,3.0,1,168,2.0,31000000,1,0,1,18507.0
1350.0,3,3.0,1,168,2.0,22000000,1,1,1,18507.0
900.0,2,2.0,1,168,2.0,13400000,1,0,1,18507.0
1800.0,3,3.0,1,168,2.0,35000000,0,0,1,18507.0
900.0,2,2.0,0,168,2.0,11000000,1,1,1,18507.0
900.0,2,2.0,2,356,2.0,6300000,1,1,1,7000.0
900.0,2,2.0,0,168,2.0,12500000,1,1,1,7000.0
800.0,2,2.0,2,168,1.0,14500000,1,0,1,7000.0
1100.0,2,3.0,1,168,1.0,22500000,1,0,1,7000.0
810.0,2,2.0,1,168,1.0,15500000,1,0,1,7000.0
1500.0,3,3.0,1,168,1.0,26000000,1,0,1,7000.0
900.0,2,2.0,1,168,1.0,15800000,1,0,1,7000.0
825.0,2,2.0,2,168,1.0,15000000,1,0,1,7000.0
900.0,2,2.0,2,168,1.0,13000000,1,0,1,7000.0
875.0,2,2.0,2,168,1.0,15000000,1,0,1,7000.0
1350.0,3,3.0,1,168,1.0,25000000,1,0,1,7000.0
750.0,2,2.0,1,168,1.0,16500000,1,0,1,7000.0
900.0,2,2.0,2,168,1.0,10300000,1,0,1,7000.0
1350.0,3,3.0,1,168,1.0,26000000,1,0,1,7000.0
900.0,2,2.0,2,168,1.0,11000000,1,1,1,7000.0
1800.0,3,3.0,2,168,1.0,28500000,1,0,1,7000.0
900.0,2,2.0,2,168,1.0,11000000,1,1,1,7000.0
900.0,2,1.0,0,34,1.0,11000000,1,1,0,11291.5
